osmid,y,x
5740257905,10.7689912,106.7122113
5740257908,10.7695984,106.7107067
5740257909,10.7699419,106.7127046
6747199441,10.7718254,106.7059078
6747199442,10.7746425,106.7064714
6747199443,10.7746583,106.7063782
6747199445,10.7747629,106.7061052
6747199446,10.7748279,106.7060209
6747199447,10.7749157,106.7059388
11286222843,10.7707804,106.7018744
7520786439,10.7716627,106.7046543
5735454736,10.770582,106.7155173
8370526226,10.7880138,106.7283133
8370526227,10.7880092,106.7282637
5735454740,10.7699431,106.7141758
7520786452,10.7709914,106.7054835
5735454743,10.769959,106.7127932
5735454744,10.7701289,106.7127264
5735454745,10.7711818,106.7147695
5735454753,10.770781,106.7124219
5735454754,10.7720917,106.7106767
5735454755,10.7721557,106.7106984
5735454756,10.7715234,106.7109212
9582474879,10.7809834,106.7076628
11358254621,10.7659347,106.7264524
11294873673,10.7810154,106.7002598
11294873674,10.7807713,106.7005238
11294873677,10.7815484,106.7013544
11358254624,10.765603,106.7266519
11358254626,10.7648845,106.726468
11358254629,10.7650405,106.7266091
8360302706,10.7848418,106.742811
8360302707,10.7848827,106.7428224
8360302708,10.7851495,106.7433365
8360302709,10.7848988,106.7428355
8360302710,10.7848632,106.7428154
8360302711,10.7848171,106.7428127
8360302712,10.7841247,106.7431637
9736034476,10.7527346,106.7272335
8842647725,10.783596,106.7265089
10222967259,10.7905695,106.7097821
6703291113,10.7737105,106.7273685
6703291114,10.7741077,106.7271511
6703291115,10.773518,106.7285836
6703291116,10.7730042,106.7297454
4027587324,10.7930547,106.7358302
4027587325,10.7928864,106.7360078
4027587326,10.7928599,106.7363498
4027587327,10.7931019,106.7365092
714480510,10.7904228,106.7423842
7457610640,10.7753875,106.7261777
7457610641,10.7784768,106.7280005
7457610642,10.7783503,106.7279468
7457610643,10.7782089,106.7278795
7457610644,10.7780552,106.7278449
7457610645,10.7778602,106.7278771
7457610647,10.777522,106.7280466
7457610648,10.7763289,106.7257072
7457610649,10.7769277,106.7268537
4970126302,10.7802918,106.7440036
4970126303,10.7800678,106.7434511
4970126306,10.7823212,106.7450421
4599061615,10.7931589,106.7169487
4599061616,10.7921939,106.717109
4599061617,10.792106,106.7166614
11811167368,10.7781757,106.7141304
11929787540,10.7628199,106.7024907
11848916442,10.7814562,106.7015319
4599061996,10.7924468,106.7166246
4599061997,10.7928776,106.7165677
4599061998,10.7932595,106.7164719
12617915892,10.7828957,106.7009584
12617915893,10.78278,106.7010713
12617915894,10.7829664,106.7012385
12617915896,10.7828157,106.7010365
12617915897,10.7828612,106.7009921
11358707236,10.7702762,106.7251745
11358707237,10.7695371,106.7259321
11358707238,10.7693829,106.7260482
11358707239,10.7687131,106.7264201
11358707240,10.7680899,106.7267031
11358707241,10.7679974,106.726718
11358707242,10.7677872,106.7267133
11358707243,10.7675906,106.7266502
11358707244,10.7671773,106.7262356
11358707245,10.7672328,106.7263341
11358707246,10.7674341,106.7265564
11358707247,10.7675428,106.7266264
2344099377,10.7741961,106.7250964
7499947736,10.7872536,106.7122456
7499947737,10.7871864,106.7122419
